제목,작가,삽화가,별점,다운로드수,연재일,장르,하트수,이미지주소
그대라는 동화,연이은,미루,9.93,다운로드 27만,"목, 일 연재",로맨스,"2,075",./img_data/그대라는 동화.jpg
적수,욘더,DK,9.95,다운로드 50만,"수, 토 연재",로맨스,"5,353",./img_data/적수.jpg
뒤바뀐 신랑,메텔(정유나),지니,9.75,다운로드 102만,"화, 토 연재",로맨스,"3,054",./img_data/뒤바뀐 신랑.jpg
스위트룸,박타래,조미원,9.95,다운로드 38만,"월, 목 연재",로맨스,"3,233",./img_data/스위트룸.jpg
앙큼한 거짓말,월우,정이나,9.9,다운로드 26만,"목, 일 연재",로맨스,"3,970",./img_data/앙큼한 거짓말.jpg
이것은 사랑이다,놀마,비이커,9.82,다운로드 25만,"화, 금 연재",로맨스,"2,282",./img_data/이것은 사랑이다.jpg
극한 연애,체크인,JC,9.95,다운로드 16만,"월, 목 연재",로맨스,"1,971",./img_data/극한 연애.jpg
목감기를 떼는 법,임소언(스푸키),BUN,9.87,다운로드 51만,"월, 금 연재",로맨스,"3,590",./img_data/목감기를 떼는 법.jpg
나만의 폭군,최나루,DK,9.91,다운로드 136만,"화, 금 연재",로맨스,"6,675",./img_data/나만의 폭군.jpg
부장님 왜 이러세요,주황연,yy,9.86,다운로드 392만,"월, 목 연재",로맨스,"12,925",./img_data/부장님 왜 이러세요.jpg
누나를 원해,레이지피스,에시,9.87,다운로드 35만,"목, 일 연재",로맨스,"5,134",./img_data/누나를 원해.jpg
아기가 생겼어요,이 정,still,9.79,다운로드 572만,"수, 토 연재",로맨스,"14,865",./img_data/아기가 생겼어요.jpg
연못에 핀 목화 - 송경별곡,사비랑,인토르노,9.94,다운로드 9만,"수, 토 연재",로맨스,"1,758",./img_data/연못에 핀 목화 - 송경별곡.jpg
그 여자의 XX,안테,유일,9.96,다운로드 214만,"월, 금 연재",로맨스,"8,010",./img_data/그 여자의 XX.jpg
끌림주의보,별규,라바니즈,9.88,다운로드 137만,"수, 토 연재",로맨스,"6,456",./img_data/끌림주의보.jpg
